stop,2022-02-22 17:00:00,2022-02-23 17:00:00,2022-02-24 17:00:00,0,1,2
5104706,5.108581781248807,5.108581781248807,5.108581781248807,-22.324196,8.031447,11.643669
5104707,0.0,0.0,4.496382244867648,11.246312,-0.73003364,11.845751
5104708,0.0,0.0,4.3536221674526026,11.106698,-0.86398125,11.406304
5104709,0.0,0.0,4.205020626846095,10.961371,-1.0034095,10.948875
5104710,0.0,0.0,3.419168029451809,10.192837,-1.7407498,8.529848
5104711,0.0,0.0,3.006789303387764,9.789546,-2.1276717,7.2604556
5104712,0.0,0.0,2.906215531213387,9.691189,-2.2220373,6.950867
5104713,0.0,0.0,2.9001789249706333,9.685285,-2.2277012,6.9322853
5104714,0.0,0.0,2.789857171904997,9.5773945,-2.3312123,6.5926905
5104715,0.0,0.0,2.751590603529765,9.539971,-2.3671167,6.4748974
5104716,0.0,0.0,2.5576168365876364,9.350271,-2.5491161,5.877804
5104717,0.0,0.0,2.289850061213161,9.088407,-2.8003535,5.053558
5104718,0.0,0.0,2.2066036351714837,9.006994,-2.878461,4.797306
5104719,0.0,0.0,2.254400257181913,9.053738,-2.833615,4.9444356
5105271,0.0,0.0,2.2728608483788757,9.071791,-2.8162942,5.0012617
5105272,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105273,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105274,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105275,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105276,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105277,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105278,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105279,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105280,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105281,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
