stop,2022-02-25 15:00:00,2022-02-25 15:10:00,2022-02-25 15:20:00,2022-02-25 15:30:00,2022-02-25 15:40:00,2022-02-25 15:50:00,2022-02-25 16:00:00,2022-02-25 16:10:00,2022-02-25 16:20:00,2022-02-25 16:30:00,2022-02-25 16:40:00,2022-02-25 16:50:00,0,1,2,3,4,5,6,7,8,9,10,11
5103397,0.0,0.0,5.892002956979827,0.0,5.892002956979827,0.0,0.0,5.892002956979827,0.0,0.0,5.892002956979827,0.0,-47.81745,-17.961418,6.729268,-63.332867,57.511353,16.57723,-4.9344554,27.312202,-47.498077,9.599598,-3.4765358,-12.343175
5103398,5.881175277137639,0.0,5.881175277137639,0.0,5.881175277137639,0.0,0.0,0.0,5.881175277137639,0.0,5.881175277137639,0.0,-16.797356,-29.86607,-16.412407,-60.545258,35.647842,-7.8591967,27.987377,23.217915,-18.080296,-2.6616154,-56.109505,22.206787
5103399,6.109576545064866,0.0,6.109576545064866,0.0,6.109576545064866,0.0,0.0,0.0,6.109576545064866,0.0,6.109576545064866,0.0,-16.459934,-29.853083,-17.20956,-63.179157,36.385612,-8.344232,28.626812,23.793236,-18.145153,-4.261011,-58.764297,23.605515
5103400,26.35360309556456,26.35360309556456,26.35360309556456,26.35360309556456,26.35360309556456,26.35360309556456,26.35360309556456,26.35360309556456,26.35360309556456,26.35360309556456,26.35360309556456,26.35360309556456,-15.550293,166.68546,-49.352615,-535.4075,195.9815,-55.691814,283.69354,-41.223827,-21.626907,-68.90265,-274.5256,304.75043
5103401,25.59004828553316,25.59004828553316,25.59004828553316,25.59004828553316,25.59004828553316,25.59004828553316,25.59004828553316,25.59004828553316,25.59004828553316,25.59004828553316,25.59004828553316,25.59004828553316,-15.838127,160.98099,-47.803513,-519.684,190.78564,-53.944115,275.8078,-39.78593,-21.475769,-65.79024,-266.2167,295.52066
5103402,24.894838781898446,24.894838781898446,24.894838781898446,0.0,24.894838781898446,24.894838781898446,24.894838781898446,24.894838781898446,24.894838781898446,24.894838781898446,0.0,24.894838781898446,82.31491,129.81934,-135.96365,-567.26605,220.11804,-81.40641,268.3193,-75.02803,40.07305,36.411636,-149.33557,282.01645
5103403,0.0,4.613402730658397,0.0,0.0,0.0,4.613402730658397,0.0,0.0,0.0,4.613402730658397,0.0,4.613402730658397,-4.4774094,-17.800999,11.299215,-6.2163706,44.433197,-9.603673,13.595957,-5.3743978,-2.6311436,61.4315,-15.328365,-6.7451615
5103404,0.0,4.569098135514999,0.0,0.0,0.0,4.569098135514999,0.0,0.0,0.0,4.569098135514999,0.0,4.569098135514999,-4.679159,-17.920082,11.230207,-6.0868015,44.16638,-9.466981,13.57604,-5.242079,-2.7634735,61.21148,-15.063513,-6.813002
5103405,0.0,4.554573562923,0.0,0.0,0.0,4.554573562923,0.0,0.0,0.0,4.554573562923,0.0,4.554573562923,-4.7453003,-17.959118,11.207585,-6.044323,44.078915,-9.422167,13.569512,-5.198703,-2.8068542,61.13935,-14.976696,-6.83524
5103406,0.0,4.459730855314134,0.0,0.0,0.0,4.459730855314134,0.0,0.0,0.0,4.459730855314134,0.0,4.459730855314134,-5.1771927,-18.214027,11.059867,-5.7669535,43.50776,-9.129547,13.526878,-4.9154444,-3.090126,60.668365,-14.409742,-6.9804654
5103407,0.0,3.9122161700095583,0.0,0.0,0.0,3.9122161700095583,0.0,0.0,0.0,3.9122161700095583,0.0,3.9122161700095583,-7.6704445,-19.6856,10.207109,-4.165736,40.21056,-7.440303,13.280765,-3.2802665,-4.7254333,57.94944,-11.136823,-7.8188286
5103408,3.282431103916806,3.282431103916806,0.0,0.0,0.0,3.282431103916806,0.0,0.0,0.0,0.0,3.282431103916806,3.282431103916806,-8.779464,-10.661871,8.243945,-23.459293,38.868713,-12.671128,2.616786,17.52385,-19.293236,42.43198,-10.214679,-14.48563
5103409,3.091271887399506,3.091271887399506,0.0,0.0,0.0,3.091271887399506,0.0,0.0,0.0,0.0,3.091271887399506,3.091271887399506,-9.75239,-11.799746,8.003422,-21.669384,37.574806,-11.663558,3.1354132,16.992722,-19.125349,42.204254,-8.906427,-14.44624
5103410,2.976605366153492,2.976605366153492,0.0,0.0,0.0,2.976605366153492,0.0,0.0,0.0,0.0,2.976605366153492,0.0,-6.6071825,-20.238697,10.26739,-18.107372,34.7141,-10.565109,-6.798211,30.674273,-21.915127,40.98032,-6.3571672,-17.250042
5103411,2.9250808866472844,2.9250808866472844,0.0,0.0,0.0,0.0,2.9250808866472844,0.0,0.0,0.0,2.9250808866472844,0.0,-13.728924,-8.250405,-4.9053383,-28.180698,14.735527,-3.5736575,9.831742,25.258957,-16.181396,30.833605,11.568585,-0.05655098
